exp_key,RMSE_annual,RMSE_winter,R2_annual,R2_winter,Bias_annual,Bias_winter,n_preds,n_annual,n_winter,E_ZERO_RMSE_annual,Delta_vs_ZERO_annual,E_ZERO_RMSE_winter,Delta_vs_ZERO_winter
TL_CH_to_ISL_G10_Y30_seed17,1.3967398633546837,0.8129988972816593,0.7052927286263495,0.34163938823371287,-0.016358640749020267,-0.04341841258574277,2444,1164,1280,2.750572565450484,-1.3538327020958,1.2140721489408826,-0.40107325165922325
TL_CH_to_ISL_G10_Y30_seed18,1.298359089418555,0.8212102723665979,0.7453466227053602,0.3282732034550716,-0.17420889245173365,-0.004727551760151982,2444,1164,1280,2.750572565450484,-1.4522134760319287,1.2140721489408826,-0.3928618765742846
TL_CH_to_ISL_G10_Y30_seed19,1.229103635911146,0.7852995986592246,0.7717888803118874,0.38573654516709743,-0.09786546445384468,-0.2149667421123013,2444,1164,1280,2.750572565450484,-1.5214689295393378,1.2140721489408826,-0.42877255028165795
TL_CH_to_ISL_G10_Y30_seed2,1.2834609958613736,0.8608409345393218,0.7511571623316824,0.26187528435817553,-0.25006509201018673,0.03350890341680497,2444,1164,1280,2.750572565450484,-1.4671115695891102,1.2140721489408826,-0.3532312144015608
TL_CH_to_ISL_G10_Y30_seed20,1.278682726579713,0.8136457908347067,0.7530065753213445,0.3405912719957793,-0.5564920076799557,-0.2783857118804008,2444,1164,1280,2.750572565450484,-1.4718898388707709,1.2140721489408826,-0.4004263581061759
TL_CH_to_ISL_G10_Y30_seed3,1.4629807325601722,0.9259472772153016,0.6766766960999716,0.1460028035234413,0.015372225150619586,0.04715381076093763,2444,1164,1280,2.750572565450484,-1.2875918328903115,1.2140721489408826,-0.288124871725581
TL_CH_to_ISL_G10_Y30_seed4,1.3252007921084203,0.8600330987965421,0.7347086018393663,0.26325998557288166,0.3945232670997426,0.22259397991001606,2444,1164,1280,2.750572565450484,-1.4253717733420634,1.2140721489408826,-0.35403905014434045
TL_CH_to_ISL_G10_Y30_seed5,1.2537079003202782,0.7395447757935896,0.7625607453993566,0.4552303879303773,0.3430122774593609,-0.08103459074627609,2444,1164,1280,2.750572565450484,-1.4968646651302056,1.2140721489408826,-0.474527373147293
TL_CH_to_ISL_G10_Y30_seed6,1.3571978202848909,0.8150956983249911,0.7217429977974998,0.33823906043650875,-0.08079599461092572,-0.10281471807975322,2444,1164,1280,2.750572565450484,-1.393374745165593,1.2140721489408826,-0.3989764506158915
TL_CH_to_ISL_G10_Y30_seed7,1.3730979853668979,0.7365047481588572,0.7151850020566575,0.4596999233943818,0.2970041685907292,0.01945803661365062,2444,1164,1280,2.750572565450484,-1.377474580083586,1.2140721489408826,-0.4775674007820253
TL_CH_to_ISL_G10_Y30_seed8,1.3708545411742807,0.831869521942684,0.7161149350553013,0.310722102049076,-0.31892970644731294,-0.1704055807320401,2444,1164,1280,2.750572565450484,-1.379718024276203,1.2140721489408826,-0.3822026269981985
TL_CH_to_ISL_G10_Y30_seed9,1.3833607852249472,0.8356867095740428,0.710911566536687,0.30438182956801973,-0.4965655889195675,-0.10353673722129315,2444,1164,1280,2.750572565450484,-1.3672117802255366,1.2140721489408826,-0.37838543936683977
TL_CH_to_ISL_G10_Y35_seed1,1.3928591926662854,0.7486879255049942,0.7069280698053421,0.44167691473383586,0.23949496053748115,-0.17266641564201562,2444,1164,1280,2.750572565450484,-1.3577133727841983,1.2140721489408826,-0.46538422343588837
TL_CH_to_ISL_G10_Y35_seed10,1.3895886137941298,0.7695459432018424,0.7083027809340028,0.4101344494260786,-0.5365201591984513,-0.3159806643379852,2444,1164,1280,2.750572565450484,-1.360983951656354,1.2140721489408826,-0.4445262057390401
TL_CH_to_ISL_G10_Y35_seed11,1.2798858336163434,0.9104504317650206,0.7525415665758469,0.17434894635840026,-0.1943729029795558,-0.041228198423050345,2444,1164,1280,2.750572565450484,-1.4706867318341403,1.2140721489408826,-0.30362171717586195
TL_CH_to_ISL_G10_Y35_seed12,1.4813075582923463,0.9063998279980225,0.6685253867183456,0.1816792645144727,0.20127225167972526,0.17812424460425974,2444,1164,1280,2.750572565450484,-1.2692650071581375,1.2140721489408826,-0.30767232094286
TL_CH_to_ISL_G10_Y35_seed13,1.2671110220931447,0.7944534338877223,0.7574567836788141,0.3713327739202512,0.18629198472729253,0.1471050440100953,2444,1164,1280,2.750572565450484,-1.483461543357339,1.2140721489408826,-0.4196187150531603
TL_CH_to_ISL_G10_Y35_seed14,1.3348913237855151,0.8813434073709948,0.7308145289486803,0.22629705927925303,-0.29464065846811044,-0.027797421207651496,2444,1164,1280,2.750572565450484,-1.4156812416649687,1.2140721489408826,-0.33272874156988774
TL_CH_to_ISL_G10_Y35_seed15,1.4095892766912832,0.8216032669877599,0.6998454235267055,0.3276301326301021,-0.09501059773246857,-0.007239750516600907,2444,1164,1280,2.750572565450484,-1.3409832887592006,1.2140721489408826,-0.3924688819531227
