lr,batch_size,optimizer,optimizer__weight_decay,module__hidden_layers,module__dropout,module__use_batchnorm,valid_loss,test_loss,test_loss_a,test_loss_w,status,error
0.0005,256,<class 'torch.optim.radam.RAdam'>,0.0001,"[64, 32, 32]",0.3,False,0.3657167909778511,0.561647205991544,0.8171870789386524,0.48703427771473345,success,
0.001,128,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 128, 64, 64, 32]",0.0,True,0.22656743797030696,0.5844045874508954,0.8193249835566363,0.5179752618152091,success,
0.001,128,<class 'torch.optim.adamw.AdamW'>,0.0001,"[128, 128, 64, 32]",0.0,False,0.2730307494282955,0.5966782259541317,0.8646775820671825,0.5187036399495721,success,
0.0005,512,<class 'torch.optim.adamw.AdamW'>,0.0,"[128, 64, 32]",0.0,True,0.2602146892474577,0.6120593562005263,0.8640872728852654,0.5403706878758355,success,
0.001,256,<class 'torch.optim.radam.RAdam'>,0.0001,"[64, 32, 32]",0.2,True,0.46533177682900995,0.5697274818948963,0.9622993597665849,0.43707048329476816,success,
0.001,128,<class 'torch.optim.radam.RAdam'>,0.0,"[256, 128, 64]",0.3,False,0.27018102160967933,0.5390648616666356,0.8179886935596513,0.4544609608867213,success,
0.0005,256,<class 'torch.optim.radam.RAdam'>,0.0,"[64, 32, 32]",0.3,False,0.38017581246369403,0.5587032228680828,0.8243888354287346,0.4801523750675919,success,
0.0001,128,<class 'torch.optim.adam.Adam'>,1e-05,"[256, 256, 128, 64, 32]",0.4,True,0.5855804048780251,0.6326100612172779,1.1265854074690218,0.45521220636948384,success,
0.0005,256,<class 'torch.optim.adam.Adam'>,0.0,"[64, 32, 32]",0.2,False,0.3857839235533056,0.5791268268590627,0.8998930165114801,0.47961885609206534,success,
0.0001,512,<class 'torch.optim.adam.Adam'>,0.0001,"[128, 64, 32]",0.2,False,0.43070516476739734,0.6089265646938133,0.8497583875541088,0.5410909346180791,success,
0.0001,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[256, 256, 128, 64, 32]",0.3,True,0.5200289775704687,0.6232866277013651,1.019454073399705,0.4939270816234787,success,
