lr,batch_size,optimizer,optimizer__weight_decay,module__hidden_layers,module__dropout,module__use_batchnorm,valid_loss,test_rmse,status,error
0.0001,512,<class 'torch.optim.adam.Adam'>,0.0,"[128, 128, 64, 32]",0.4,False,0.4227324329672383,0.6367002011918863,success,
0.0005,128,<class 'torch.optim.radam.RAdam'>,0.0001,"[256, 128, 64, 32]",0.0,False,0.2163832951354734,0.5833433132886792,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 128, 64]",0.2,False,0.1979984493544954,0.6003248616460954,success,
0.0001,512,<class 'torch.optim.adam.Adam'>,0.0,"[128, 128, 64, 32]",0.4,True,1.9130883415428075,1.163826313894681,success,
0.0005,512,<class 'torch.optim.radam.RAdam'>,0.0,"[128, 64, 32]",0.3,False,0.24293203641466377,0.5973411904675966,success,
0.0001,512,<class 'torch.optim.adamw.AdamW'>,1e-05,"[256, 128, 64, 32]",0.4,False,0.3758229886431538,0.6865240311921,success,
0.001,512,<class 'torch.optim.adamw.AdamW'>,0.0,"[256, 128, 64, 32]",0.4,False,0.2436876297472548,0.636356735194389,success,
0.0005,256,<class 'torch.optim.radam.RAdam'>,0.0,"[128, 64, 32]",0.0,True,0.1746463754417305,0.6121800518703262,success,
0.0001,256,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 128, 64, 32]",0.4,True,1.5174496755369493,1.0463560326614856,success,
0.0001,256,<class 'torch.optim.radam.RAdam'>,0.0,"[128, 128, 64, 64, 32]",0.4,False,0.5887340785168645,0.695778845580903,success,
0.0001,128,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 256, 128, 64, 32]",0.3,True,0.36476269868112354,0.5955230761123759,success,
0.0005,512,<class 'torch.optim.radam.RAdam'>,0.0,"[128, 128, 64, 32]",0.2,True,0.36768120664861803,0.5944170929122936,success,
0.001,128,<class 'torch.optim.radam.RAdam'>,1e-05,"[256, 256, 128, 64, 32]",0.2,False,0.17147500312715025,0.5944772583699358,success,
0.0005,512,<class 'torch.optim.adam.Adam'>,0.0001,"[256, 256, 128, 64, 32]",0.3,False,0.2779969489078614,0.631840059179185,success,
0.0005,128,<class 'torch.optim.adam.Adam'>,0.0,"[128, 128, 64, 32]",0.4,True,0.3195643988320466,0.5741081760412411,success,
0.0005,512,<class 'torch.optim.adamw.AdamW'>,1e-05,"[128, 64, 32]",0.4,True,0.32383748586238786,0.5880131486643332,success,
0.001,512,<class 'torch.optim.radam.RAdam'>,0.0,"[128, 128, 64, 32]",0.0,True,0.16799812232712968,0.6463648673336754,success,
0.0001,512,<class 'torch.optim.adamw.AdamW'>,0.0001,"[256, 256, 128, 64, 32]",0.2,False,0.39721730203249533,0.6088380764265188,success,
0.001,256,<class 'torch.optim.adam.Adam'>,0.0,"[128, 64, 32]",0.4,True,0.2530507551368662,0.5444200475786154,success,
0.0001,512,<class 'torch.optim.radam.RAdam'>,0.0,"[256, 128, 64, 32]",0.0,False,0.3339232747320181,0.6414320998656119,success,
0.0005,256,<class 'torch.optim.radam.RAdam'>,0.0001,"[128, 128, 64, 64, 32]",0.0,False,0.2189460501347889,0.5774569313556798,success,
0.0001,512,<class 'torch.optim.radam.RAdam'>,1e-05,"[128, 128, 64, 32]",0.4,True,2.3665429380999106,1.308242970923241,success,
0.0001,256,<class 'torch.optim.adamw.AdamW'>,0.0001,"[128, 64, 32]",0.2,False,0.31794045071464244,0.6207110588806928,success,
0.001,128,<class 'torch.optim.adamw.AdamW'>,0.0001,"[256, 256, 128, 64, 32]",0.2,False,0.17506969013262852,0.5888270594165853,success,
